px_msmt,py_msmt,px_pred,py_pred,px_error,py_error,px_gt,py_gt,vx_gt,vy_gt,px_rmse,py_rmse,vx_rmse,vy_rmse
-2.79865,7.064,-2.79759,7.14093,-0.00106593,-0.0769268,-2.71658,7.10238,-1.73786,-4.89933,0.101238,0.0853923,0.578506,0.449958
-2.74651,6.86867,-2.95164,6.64812,0.205129,0.220545,-2.88957,6.61214,-1.72295,-4.90566,0.100893,0.085277,0.576242,0.448232
-2.90217,6.22989,-2.99257,6.26569,0.090409,-0.0358086,-3.0614,6.12139,-1.71464,-4.90911,0.100733,0.0857987,0.57416,0.447508
-3.1778,5.53101,-3.1811,5.76789,0.0032963,-0.236881,-3.23274,5.63043,-1.71295,-4.9097,0.1004,0.0860316,0.571905,0.445864
-3.43031,5.10507,-3.39389,5.23072,-0.0364223,-0.125649,-3.40424,5.13955,-1.71787,-4.90745,0.100008,0.0859462,0.569738,0.444185
-3.69435,4.52196,-3.56437,4.70914,-0.129985,-0.18718,-3.57657,4.64902,-1.72939,-4.90233,0.0996394,0.0856977,0.567555,0.442578
-4.00238,4.04684,-3.81154,4.15489,-0.190843,-0.108049,-3.75039,4.15913,-1.74749,-4.8943,0.0995439,0.0854022,0.565984,0.441117
-3.88053,3.75177,-4.03255,3.62566,0.152014,0.12611,-3.92635,3.67019,-1.77212,-4.8833,0.0994324,0.0850961,0.5639,0.439731
-4.15119,3.21968,-4.16821,3.24113,0.017018,-0.0214441,-4.10509,3.18248,-1.8032,-4.86925,0.0991918,0.0849,0.561763,0.438139
-4.32451,2.55034,-4.38264,2.73525,0.0581358,-0.184912,-4.28727,2.69633,-1.84065,-4.85202,0.0991297,0.0846074,0.559784,0.436506
-4.61223,2.09192,-4.56111,2.19715,-0.0511179,-0.105234,-4.47352,2.21205,-1.88436,-4.83149,0.0990884,0.0843321,0.557684,0.43509
-4.86829,1.53442,-4.78083,1.70253,-0.0874594,-0.168108,-4.66444,1.72998,-1.93422,-4.80751,0.0992762,0.084148,0.555942,0.433704
-4.66779,1.28643,-5.03419,1.15462,0.366401,0.131802,-4.86066,1.25049,-1.99007,-4.7799,0.099618,0.0840584,0.554243,0.43235
-4.85498,0.825661,-5.16731,0.760642,0.31233,0.0650194,-5.06277,0.77393,-2.05174,-4.74848,0.0995006,0.0837536,0.55222,0.430824
