rho_msmt,phi_msmt,rho_dot_msmt,rho_pred,phi_pred,rho_dot_pred,rho_error,phi_error,rho_dot_error,px_gt,py_gt,vx_gt,vy_gt,px_rmse,py_rmse,vx_rmse,vy_rmse
24.4724,1.04012,-2.24199,24.2867,1.05654,-1.67161,0.185668,-0.0164221,-0.570372,12.0276,21.0996,-4.84773,0.408778,0.0879194,0.0953816,0.6628,0.528019
23.6708,1.0622,-2.41489,24.0283,1.07312,-1.93025,-0.357498,-0.010918,-0.484644,11.5418,21.1283,-4.86971,0.165281,0.0877654,0.0949141,0.658855,0.525029
23.1085,1.09641,-2.60844,23.7826,1.08911,-2.09129,-0.674032,0.00729606,-0.517148,11.0544,21.1327,-4.87982,-0.076565,0.0874053,0.0948434,0.654895,0.521935
23.3261,1.16045,-2.31884,23.4889,1.10456,-2.31296,-0.162864,0.0558912,-0.00588058,10.5666,21.1131,-4.8784,-0.31604,0.0869247,0.0953609,0.650912,0.518994
23.5158,1.13252,-2.69781,23.2823,1.12819,-2.18019,0.233406,0.00433213,-0.517625,10.0795,21.0697,-4.86585,-0.552463,0.0871619,0.0949624,0.647727,0.517655
23.102,1.15259,-2.34951,23.042,1.14259,-2.31814,0.0600339,0.00999997,-0.0313703,9.59422,21.0028,-4.84262,-0.785189,0.0866921,0.0945644,0.643911,0.516625
23.0793,1.14018,-2.84906,22.818,1.15728,-2.25353,0.261292,-0.0170984,-0.595534,9.11177,20.9128,-4.80919,-1.01362,0.0864008,0.094135,0.640196,0.515693
22.3004,1.11349,-2.998,22.5284,1.179,-2.47118,-0.228003,-0.0655096,-0.526819,8.63315,20.8003,-4.76608,-1.2372,0.0859122,0.0936171,0.636838,0.514794
22.1131,1.1862,-3.20417,22.1703,1.19738,-2.74003,-0.0572104,-0.0111731,-0.464141,8.1593,20.6657,-4.71387,-1.45542,0.0856899,0.0932292,0.634327,0.513067
22.2583,1.18911,-3.51245,21.8357,1.21487,-2.91244,0.42253,-0.0257539,-0.600009,7.69111,20.5096,-4.65313,-1.66781,0.0854916,0.092942,0.632,0.510871
21.333,1.2319,-3.3258,21.4983,1.23743,-3.09838,-0.165337,-0.005533,-0.227423,7.22939,20.3326,-4.58448,-1.87399,0.0871134,0.0925015,0.632379,0.509017
21.3,1.24122,-3.35883,21.1592,1.25717,-3.13176,0.140791,-0.0159479,-0.227071,6.7749,20.1352,-4.50854,-2.07357,0.0898211,0.0920226,0.633123,0.507705
21.2882,1.2518,-3.50165,20.8363,1.27545,-3.14361,0.451876,-0.0236554,-0.35804,6.32834,19.9183,-4.42598,-2.26625,0.0927566,0.0915202,0.633365,0.506726
